,profile_id,latitude,longitude,time,TrackRadius,Year,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Unnamed: 0,MAST_Station,Station,Gear,Depth.bot,Water.surf,Water.bot,meanSa,meanAcod,meanPol,meanCap
12,CH-D04-2012,67.5,-164.58287994105,2012-01-01 00:00:00,15.059891410514831,2012,,,,30.046,30.804000000000002,,,,9.447000000000001,7.49,,4.5,12.0,CH-D04,18.0,CTD,30.0,6.0,6.0,31.905478125000002,0.0,0.0,0.0065628009375
13,CH-E01-2012,68.0,-168.5,2012-01-01 00:00:00,15.055653260468818,2012,,,,31.889,32.676,,,,6.272,0.6629999999999999,,7.5,13.0,CH-E01,26.0,CTD,59.0,5.0,5.0,9.419672150537636,0.0019511397849462367,0.0,0.007455015537634409
14,CH-E02-2012,68.0,-167.16613990126982,2012-01-01 00:00:00,15.059080951879716,2012,,,,31.055,32.255,,,,7.239,3.115,,7.0,14.0,CH-E02,28.0,CTD,56.0,6.0,5.0,25.544079687500002,0.0,0.0,0.0020779290156250005
15,CH-E03-2012,68.0,-165.82,2012-01-01 00:00:00,15.075985011336304,2012,,,,30.392,30.646,,,,9.471,8.585,,4.0,15.0,CH-E03,30.0,CTD,29.0,6.0,6.0,35.26723055555555,0.0,0.0,0.0005103172222222223
16,CH-F01-2012,68.5,-168.5,2012-01-01 00:00:00,15.056575043235302,2012,,,,31.487,32.366,,,,7.053,2.042,,3.5,16.0,CH-F01,32.0,CTD,52.0,6.0,5.0,47.51355813953489,0.1375869534883721,0.0,0.0005507395813953488
17,CH-F02-2012,68.5,-167.13663950927926,2012-01-01 00:00:00,15.060179331930419,2012,,,,29.349,30.601,,,,9.777999999999999,9.097999999999999,,10.0,17.0,CH-F02,35.0,CTD,36.0,6.0,6.0,40.85260408163265,0.0005736938775510205,0.0,0.03194537816326531
18,CH-G01-2012,69.0,-168.5,2012-01-01 00:00:00,15.057480118200662,2012,,,,31.546999999999997,32.505,,,,6.565,0.747,,13.0,18.0,CH-G01,41.0,CTD,51.0,5.0,5.0,129.24304347826083,0.42858478260869576,0.0,0.004285662760869564
19,CH-G02-2012,69.0,-167.105696090033,2012-01-01 00:00:00,15.060805014892132,2012,,,,31.035,31.715999999999998,,,,8.052999999999999,5.556,,12.0,19.0,CH-G02,38.0,CTD,47.0,6.0,5.0,27.23675663716814,0.02641831168141593,0.0,0.0023492082504424777
20,CH-G03-2012,69.0,-165.70791833333334,2012-01-01 00:00:00,15.072686321656365,2012,,,,27.073,28.566999999999997,,,,10.041,8.921,,6.0,20.0,CH-G03,37.0,CTD,20.0,6.0,6.0,48.24605,0.0,0.0,0.0
21,CH-H01-2012,69.5,-168.5,2012-01-01 00:00:00,15.058368204592217,2012,,,,31.733,32.724000000000004,,,,6.64,0.598,,11.5,21.0,CH-H01,42.0,CTD,51.0,5.0,5.0,190.7590833333333,0.6242112222222223,0.0,0.008020996583333334
