,Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
182,66.5,-166.9,30.678,6.4129,0.14087,0.00037783,0.00049546,0.0022905,0.00072096,0.0
183,66.5,-166.92,30.749000000000002,3.8864,0.098923,0.0002242,0.000294,0.0013591,0.00042781,0.0
184,66.5,-166.94,30.579,1.9628,0.58867,0.00011371,0.00014911,0.00068931,0.00021697,0.0
185,66.5,-166.96,30.48,6.1342,0.061335,0.00035272,0.00046254,0.0021383,0.00067305,0.0
186,66.5,-166.98,30.413,7.2958,0.57973,0.00042096,0.00055201,0.0025519,0.00080325,0.0
187,66.5,-167.01,30.311,5.8026,0.70387,0.00033268,0.00043625,0.0020168,0.0006348,0.0
188,66.5,-167.03,30.235,10.777000000000001,0.56716,0.00062126,0.00081467,0.0037662,0.0011855000000000001,0.0
189,66.5,-167.05,30.141,23.625999999999998,2.5199,0.0013879,0.0018199000000000002,0.0084135,0.0026482,0.0
190,66.5,-167.07,30.022,11.556,0.66568,0.00067319,0.00088277,0.004081,0.0012845,0.0
191,66.5,-167.09,29.869,32.405,0.25787,0.0018919,0.0024809000000000003,0.011469,0.00361,0.0
192,66.5,-167.11,29.634,37.762,0.26636,0.0021732,0.0028497,0.013174000000000002,0.0041467,0.0
193,66.5,-167.13,29.233,23.085,0.81083,0.0013497,0.0017699000000000002,0.0081823,0.0025755,0.0
194,66.5,-167.15,28.979,10.575999999999999,1.1701,0.00062303,0.000817,0.0037768999999999997,0.0011888,0.0
195,66.501,-167.17,28.893,5.1423,5.9104,0.00030294,0.00039725,0.0018364999999999998,0.00057805,0.0
196,66.501,-167.19,28.839000000000002,7.1837,1.3491,0.00042715,0.00056013,0.0025895,0.00081507,0.0
197,66.501,-167.21,28.82,8.5562,1.3856,0.00050289,0.00065945,0.0030486000000000003,0.00095958,0.0
198,66.501,-167.23,28.833000000000002,7.1868,0.19505,0.00042226,0.00055372,0.0025598,0.00080574,0.0
199,66.503,-167.25,29.046999999999997,6.1584,0.1251,0.00036198,0.00047468,0.0021944000000000004,0.00069071,0.0
200,66.503,-167.26,29.139,7.8871,0.19935,0.00046695,0.00061232,0.0028307,0.00089101,0.0
201,66.455,-167.29,27.534000000000002,16.766,1.7911,0.00099995,0.0013113,0.0060619,0.0019079999999999998,0.0
202,66.46300000000001,-167.29,27.775,2.3181,0.1217,0.00013522,0.00017732,0.00081972,0.00025802,0.0
203,66.472,-167.29,28.061999999999998,4.4398,0.035497,0.00026037,0.00034142,0.0015784,0.00049682,0.0
204,66.48,-167.29,28.320999999999998,4.8362,0.085664,0.0002813,0.00036887,0.0017053,0.00053676,0.0
205,66.488,-167.29,28.612,4.7578,0.15677,0.00027605,0.00036199,0.0016734999999999999,0.00052674,0.0
206,66.494,-167.31,28.853,5.1576,0.038107999999999996,0.00029825,0.0003911,0.001808,0.0005691,0.0
207,66.499,-167.32,28.979,5.0795,0.00746,0.00029516,0.00038706,0.0017893,0.00056322,0.0
208,66.5,-167.34,28.959,7.6656,0.061774,0.00044651,0.00058551,0.0027068,0.000852,0.0
209,66.501,-167.36,28.871,6.175,0.10795999999999999,0.0003632,0.00047627,0.0022018000000000003,0.00069304,0.0
210,66.5,-167.39,28.756,4.5754,0.032257999999999995,0.00026988,0.0003539,0.0016361000000000001,0.00051497,0.0
211,66.5,-167.41,28.61,7.05,0.12167,0.00041675,0.00054649,0.0025264,0.00079522,0.0
212,66.5,-167.43,28.393,12.312999999999999,0.04237,0.00072237,0.00094726,0.0043791,0.0013784000000000001,0.0
213,66.5,-167.45,28.125,248.4,0.6372800000000001,0.00032602,0.00026763,0.0012372,0.050593,0.0
214,66.5,-167.47,27.983,111.85,0.13609000000000002,0.00015594,0.00013281,0.000614,0.022696,0.0
