Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,3,2017,3,1.11,0.22,1.1,0.22
,3,2017,4,1.46,0.36,1.45,0.35
,3,2017,5,1.48,0.14,1.46,0.14
,3,2017,6,1.6,0.08,1.58,0.08
,3,2017,7,1.43,0.14,1.42,0.13
,3,2017,8,0.73,0.26,0.72,0.26
,3,2017,9,0.93,0.35,0.92,0.35
,3,2017,10,1.13,0.46,1.13,0.46
,3,2017,11,1.43,0.26,1.42,0.26
,3,2017,12,1.58,0.44,1.57,0.44
,3,2018,1,1.1,0.4,1.09,0.4
,3,2018,2,1.76,0.55,1.75,0.54
,3,2018,3,1.59,0.44,1.58,0.44
,3,2018,4,1.31,0.25,1.3,0.25
,3,2018,5,1.32,0.17,1.31,0.17
,3,2018,6,1.31,0.18,1.3,0.18
,3,2018,7,1.12,0.22,1.12,0.22
,3,2018,8,1.22,0.14,1.21,0.13
,3,2018,9,1.39,0.15,1.38,0.15
,3,2018,10,0.53,0.45,0.52,0.45
,3,2018,11,0.65,0.35,0.64,0.35
,3,2018,12,-0.31,0.38,-0.31,0.38
,3,2019,1,1.21,0.16,1.2,0.15
,3,2019,2,2.17,0.21,2.15,0.21
,3,2019,3,0.98,0.5,0.98,0.5
,3,2019,4,1.14,0.33,1.13,0.33
,3,2019,5,1.28,0.21,1.27,0.21
,3,2019,6,1.62,0.07,1.6,0.07
,3,2019,7,1.48,0.15,1.47,0.14
,3,2019,8,1.53,0.1,1.52,0.09
,3,2019,9,#NUM!,#NUM!,#NUM!,#NUM!
,3,2019,10,#NUM!,#NUM!,#NUM!,#NUM!
,3,2019,11,#NUM!,#NUM!,#NUM!,#NUM!
,3,2019,12,#NUM!,#NUM!,#NUM!,#NUM!
