SURVEY,EVENT_ID,GEAR,EQ_TIME,EQ_LONGITUDE,EQ_LATITUDE,HB_TIME,HB_LONGITUDE,HB_LATITUDE,BOTTOM_DEPTH_START,AVG_HEAD_ROPE_DEPTH,AVG_NET_VERT_OPENING,AVG_NET_HORI_OPENING,MIN_HEAD_ROPE_DEPTH,MAX_HEAD_ROPE_DEPTH,YEAR,NET_AREA,TRAWL_DIST,VOL_FILTERED
2012001,27,CanTrawl,09-AUG-12 10.54.00.602000000 PM,167.146,66.9767,09-AUG-12 11.23.59.113000000 PM,167.1298,66.9426,,2,19.6,55.5,1.5,3,2012,1087.8,3868.184672,4207811.287
2012001,31,CanTrawl,10-AUG-12 04.09.00.819000000 AM,165.9624,67.0007,10-AUG-12 04.38.59.960000000 AM,166.0324,66.985,,2.283333333,20.74,55.62,1.7,3,2012,1153.5588,3520.553066,4061164.97
2012001,35,CanTrawl,10-AUG-12 05.25.08.073000000 PM,164.6551,67.0363,10-AUG-12 05.55.35.444000000 PM,164.6124,67.0733,,1.8,16.39,56.18,1,2,2012,920.7902,4525.505948,4167041.527
2012001,38,CanTrawl,10-AUG-12 09.45.29.261000000 PM,164.5944,67.4887,10-AUG-12 10.15.27.772000000 PM,164.6078,67.4569,,2.283333333,16.52,57.35,1.5,5,2012,947.422,3592.615711,3403723.162
2012001,42,CanTrawl,11-AUG-12 03.01.29.726000000 AM,165.8647,67.5244,11-AUG-12 03.31.29.747000000 AM,165.844,67.5613,,1.4,18.99,53.32,1,2,2012,1012.5468,4209.046227,4261856.289
2012001,43,CanTrawl,11-AUG-12 05.32.14.316000000 AM,166.1112,67.5006,11-AUG-12 06.00.31.521000000 AM,166.0201,67.502,,10.33333333,15,45,9,11,2012,675,3894.924401,2629073.971
2012001,47,CanTrawl,11-AUG-12 05.42.29.089000000 PM,167.2133,67.5282,11-AUG-12 06.12.29.972000000 PM,167.2224,67.565,,1.375,18.4,54,1,2,2012,993.6,4122.584615,4096200.074
2012001,51,CanTrawl,11-AUG-12 11.35.14.837000000 PM,168.4857,67.5459,12-AUG-12 12.05.15.190000000 AM,168.4776,67.5836,,3,24.42,50.14,3,3,2012,1224.4188,4218.809528,5165589.7
2012001,54,CanTrawl,12-AUG-12 04.31.59.660000000 AM,168.4989,68.0417,12-AUG-12 05.02.00.012000000 AM,168.4838,68.0799,,2.4,21.71,52.27,2,3,2012,1134.7817,4306.99871,4887503.319
2012001,58,CanTrawl,12-AUG-12 05.44.44.411000000 PM,167.1934,68.0379,12-AUG-12 06.14.44.291000000 PM,167.2025,68.0775,,2.75,22.64,51.7,2,4,2012,1170.488,4433.129938,5188925.395
