,profile_id,latitude,longitude,time,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Water_surf,Water_bot
43,os1701l2c105_ctd,70.498665,194.48533999999998,2017-09-11 20:33:18+00:00,38.600365581794435,32.4851,31.6382,31.6382,32.45705,31.838985000000008,3.9589,6.4303,6.4303,4.1253166666666665,5.953452499999997,30.0,5,5.0
44,os1701l2c106_ctd,70.502,196.0,2017-09-12 02:38:34+00:00,38.60035809433338,32.4346,31.5737,31.5737,32.22523333333333,31.81695250000001,1.8755,5.7594,5.7594,2.2976666666666667,4.0207375,10.0,5,5.0
45,os1701l2c107_ctd,70.499664,197.49434,2017-09-12 14:04:20+00:00,28.703530799162756,32.1404,32.1395,32.1395,32.14023333333333,32.13989333333334,2.5716,2.5819,2.5777,2.58015,2.5762633333333325,29.0,5,5.0
46,os1701l2c108_ctd,70.50117,197.49634,2017-09-12 17:04:58+00:00,28.70352828492384,32.1432,32.1377,32.1389,32.142133333333334,32.13953333333333,2.5188,2.5405,2.5356,2.52435,2.534113333333333,29.0,5,5.0
47,os1701l2c109_ctd,69.998665,195.90167,2017-09-12 23:18:47+00:00,27.71463741120961,32.1832,32.0628,32.0628,32.158683333333336,32.08768965517241,4.6934,4.9504,4.950400000000001,4.7347166666666665,4.885579310344829,24.5,5,5.0
48,os1701l2c110_ctd,70.002,194.41034,2017-09-13 14:07:03+00:00,35.63240641568056,32.2128,31.016,31.0162,32.20286666666667,31.293670270270272,5.3011,6.932,6.826300000000002,5.304983333333333,6.4871675675675675,27.0,5,5.0
49,os1701l2c111_ctd,70.00283,192.99867,2017-09-13 22:25:35+00:00,40.58085741223636,32.3091,31.0726,31.0727,32.30405,31.441876190476194,5.6669,7.2985,7.2899,5.6695,6.837057142857143,28.5,6,5.0
50,os1701l2c112_ctd,70.00633,193.0255,2017-09-13 22:48:18+00:00,40.5808489760249,32.304,31.0529,31.0535,32.29835,31.423659523809533,5.6785,7.312,7.3108,5.680199999999999,6.850497619047617,29.0,6,5.0
51,os1701l2c113_ctd,70.0065,191.51984,2017-09-14 04:49:10+00:00,38.601482300540006,32.4614,31.6301,31.6318,32.4606,32.0412,3.1203,6.5089999999999995,6.5089999999999995,3.135283333333333,4.980305,20.0,5,5.0
52,os1701l3c114_ctd,69.49817,195.79984,2017-09-19 16:13:44+00:00,22.76655523508433,31.5229,31.4972,31.5007,31.5225,31.51208750000001,5.2526,5.3543,5.2634,5.35325,5.3093625000000015,23.0,5,5.0
53,os1701l3c115_ctd,69.50584,195.80383,2017-09-19 17:08:56+00:00,19.79713950018122,31.4986,31.4673,31.4673,31.497650000000004,31.48517142857143,5.2029,5.3517,5.2029,5.3478666666666665,5.288309523809524,20.0,5,5.0
54,os1701l3c116_ctd,69.49783000000001,194.36700000000002,2017-09-20 04:52:15+00:00,30.684761919687496,31.2902,30.9239,30.9239,31.094583333333336,30.966709375,6.4787,6.8085,6.8038,6.577283333333334,6.7353468749999985,24.5,5,5.0
55,os1701l3c117_ctd,69.4965,192.905,2017-09-20 16:10:31+00:00,40.58209073113977,32.2185,30.9392,30.940300000000004,32.13676666666667,31.35486666666667,5.3392,6.6207,6.4242,5.610849999999999,6.2654476190476185,29.5,5,5.0
56,os1701l3c118_ctd,69.505,191.50734,2017-09-20 22:25:07+00:00,49.489248424211205,32.4216,31.1368,31.1368,32.41678333333334,31.705554901960785,4.4828,7.0048,6.7046,4.491316666666667,5.890519607843139,24.5,5,5.0
57,os1701l3c119_ctd,69.50399999999999,191.50883000000002,2017-09-20 22:34:29+00:00,49.4892514243402,32.4236,31.1377,31.1377,32.41801666666667,31.710817647058825,4.4809,7.0182,6.6955,4.487916666666666,5.878372549019607,24.5,5,5.0
58,os1701l3c120_ctd,69.505165,191.52766,2017-09-20 23:06:04+00:00,48.49958062849114,32.4272,31.1257,31.1257,32.40976666666667,31.68403,4.4639999999999995,6.8875,6.697,4.50305,5.961730000000001,27.0,5,5.0
59,os1701l3c121_ctd,68.9915,191.49667,2017-09-21 04:42:20+00:00,44.54226460198715,32.6413,31.0271,31.0271,32.62748333333333,31.849800000000005,4.3561,5.9189,5.8268,4.5168333333333335,5.241486956521738,20.5,5,5.0
60,os1701l3c122_ctd,68.99783000000001,192.899,2017-09-21 16:07:15+00:00,41.57306661437432,32.5658,30.7987,30.799000000000003,32.49045,31.55776279069768,4.6449,6.3071,6.1743,4.797916666666667,5.706972093023255,23.5,5,5.0
61,os1701l3c123_ctd,68.99783000000001,192.89333,2017-09-21 19:05:46+00:00,41.57306661437432,32.5786,30.7811,30.7867,32.53438333333333,31.57309302325581,4.6195,6.2594,6.1741,4.713683333333334,5.679020930232557,23.0,5,5.0
62,os1701l3c125_ctd,68.49783000000001,192.8985,2017-09-23 19:01:46+00:00,27.71718464118885,31.395,31.3096,31.3096,31.367050000000006,31.33360689655173,5.5893,5.6836,5.6803,5.596283333333332,5.646813793103449,28.0,5,5.0
63,os1701l3c126_ctd,68.49433,191.48567,2017-09-24 03:50:19+00:00,41.574373726493775,32.6131,30.9207,30.921500000000005,32.612716666666664,31.57164883720929,4.5741,5.561,5.5545,4.5745000000000005,5.205386046511628,24.5,5,5.0
64,os1701l3c127_ctd,68.486664,191.46716,2017-09-24 04:10:45+00:00,36.62550556255063,32.6012,30.8993,30.9025,32.57085,31.42936578947368,4.5585,5.5601,5.5545,4.613600000000001,5.284789473684211,24.0,5,5.0
65,os1701l3c128_ctd,67.996666,192.8145,2017-09-25 04:16:35+00:00,15.839357557638767,32.1757,32.1715,32.1757,32.17361666666667,32.174505882352946,5.09,5.2128,5.1999,5.148583333333334,5.185035294117646,16.0,5,5.0
66,os1701l3c130_ctd,67.47967,192.84117,2017-09-25 17:29:57+00:00,42.566910258027136,32.6238,32.3489,32.34890000000001,32.62328333333333,32.439311363636364,3.1191,3.5439999999999996,3.5433,3.252966666666667,3.4295863636363646,28.0,5,5.0
67,os1701l3c131_ctd,67.48883000000001,194.10733000000002,2017-09-25 22:20:31+00:00,33.658271816413716,31.3396,31.1891,31.1891,,31.217140909090904,5.0607,5.1959,5.1895,,5.178618181818182,21.0,5,
68,os1701l3c132_ctd,67.49433,195.41867,2017-09-26 07:03:50+00:00,25.739168906989608,32.4336,32.0672,32.06720000000001,32.429816666666675,32.202555555555556,3.2913,5.1597,5.1526,3.2920166666666666,4.471281481481482,15.0,5,5.0
69,os1701l3c133_ctd,66.99834,195.30083,2017-09-26 16:11:24+00:00,23.76012500707273,32.5602,29.1857,29.186399999999995,32.5412,30.74836400000001,4.4110000000000005,6.1615,5.743200000000001,4.439799999999999,5.531104,9.5,1,5.0
70,os1701l3c134_ctd,66.999664,194.101,2017-09-26 23:05:45+00:00,22.77017306025487,32.4009,31.0334,31.0334,32.39436666666666,31.4900625,4.1487,5.9147,5.9147,4.159133333333334,5.324683333333334,15.0,5,5.0
71,os1701l3c135_ctd,66.99733,192.83583000000002,2017-09-27 07:21:16+00:00,35.639152004000984,32.4732,32.0788,32.0788,32.328116666666666,32.13041621621621,2.6069999999999998,4.8287,4.8287,3.6418666666666657,4.602805405405407,30.0,5,5.0
72,os1901l2c042_ctd,72.4995,191.498,2019-08-27 15:20:27+00:00,49.480821145794295,32.6309,31.0712,31.07243333333333,32.63009999999999,31.965160784313717,-0.4323,7.7012,7.037733333333333,0.5612,2.829582352941176,14.5,6,5.0
73,os1901l2c043_ctd,72.50083000000001,193.2,2019-08-28 00:19:11+00:00,45.52279399656582,32.6308,31.3037,31.31153333333333,32.624966666666666,32.095404255319146,0.6504,8.0828,6.954466666666666,0.6527666666666666,4.256612765957445,10.5,5,5.0
74,os1901l2c044_ctd,72.50183,194.8085,2019-08-28 15:07:53+00:00,42.554223600360366,32.6315,29.7199,29.7241,32.62956666666667,31.846420454545445,0.5476,7.9574,6.175433333333332,0.5487166666666667,4.2111909090909085,5.0,1,5.0
75,os1901l2c045_ctd,72.50017,196.50217,2019-08-28 23:06:21+00:00,42.55422734520037,32.6047,27.8368,28.04421666666667,32.598166666666664,31.59630227272728,0.45899999999999996,8.3806,5.434083333333334,0.4597333333333334,3.680395454545456,3.5,1,5.0
76,os1901l2c046_ctd,72.50166,198.09134,2019-08-29 15:00:59+00:00,38.596066103228154,32.6335,29.3434,29.35511666666667,32.632666666666665,31.568771794871797,0.1112,7.7736,5.556283333333332,0.11218333333333334,3.8022897435897454,7.0,1,5.0
77,os1901l2c047_ctd,72.49883,199.798,2019-08-29 22:03:12+00:00,42.55423036836963,32.4778,29.5629,29.563766666666666,32.475766666666665,31.25713409090909,-1.2472,5.9549,4.6332,-0.6490999999999999,1.3460999999999994,12.5,1,3.0
78,os1901l2c048_ctd,72.76816600000001,200.3615,2019-08-30 14:59:25+00:00,88.06628605918655,32.4714,29.0615,29.06271666666667,32.469800000000006,31.56453333333333,-1.6637,5.3172,5.05625,-0.8711666666666665,0.377517777777778,8.5,1,3.0
79,os1901l2c049_ctd,72.8985,200.662,2019-08-30 19:59:37+00:00,210.70067415116046,34.5496,28.6606,28.66833333333333,34.54938333333333,32.74560469483567,-1.5673,6.2413,4.678233333333334,0.0547,-0.06625352112676024,7.5,1,7.0
80,os1901l2c050_ctd,73.1015,201.06433,2019-08-31 01:38:01+00:00,300.64905054529714,34.7641,27.6766,27.782616666666666,34.76065,32.959613953488365,-1.3759,7.0997,3.9002,0.6036666666666667,0.3693681063122927,13.0,1,7.0
81,os1901l2c051_ctd,72.549835,203.122,2019-08-31 15:02:54+00:00,299.66941814739977,34.7207,27.0808,27.081166666666665,34.71901666666667,32.57997656765677,-1.4527,8.4483,3.15905,0.47145,0.21947227722772286,9.5,1,7.0
