StationID,Year,ArcticEis_Station,StationNumber,EventStartDate (GMT),Latitude,Longitude,LatitudeStart DD,LongitudeStart DD,BottomDepth (m),Depth (m),PrimarySalinity PSU,PrimaryTemperature deg. C,ChlorophyllA ug/L,BeamTransmisson %,PARIrradiance uE,PrimaryOxygenSat %,SigmaTheta kg/m3,PO4 uM,SiO4 uM,NO3 uM,NO2 uM,NH4 uM
'2013080101401,2013,CH-C02,14,8/10/2013,67.00,-167.00,67,-167.219,39,3,32.1917,4.9032,,,4.8648,,25.46006,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,19,31.70385,6.692307,,,6.923077,,24.86351,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,20,31.7081,6.6959,,,6.7936,,24.86642,0.333,3.5,0,0.01,0.04
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,18,31.7064,6.6961,,,8.9504,,24.86503,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,17,31.7067,6.6966,,,10.287,,24.86519,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,16,31.7011,6.7047,,,12.747,,24.85973,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,15,31.6955,6.7128,,,15.207,,24.85427,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,14,31.6913,6.7284,,,17.252,,24.84896,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,13,31.6774,6.7705,,,20.375,,24.83259,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,12,31.6793,6.9281,,,20.085,,24.81366,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,11,31.6812,7.0857,,,19.795,,24.79444,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,10,31.5883,7.5352,,,21.903,,24.66086,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,9,31.5396,7.695,,,25.162,,24.60055,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,8,31.43435,8.0308,,,32.085,,24.47076,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,7,31.3291,8.3666,,,39.008,,24.33989,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,5,31.1186,8.4107,,,52.628,,24.16851,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,6,31.22385,8.7024,,,45.931,,24.20795,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,4,30.9238,8.7085,,,65.179,,23.97215,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,7,29.9799,9.1185,,,1.9195,,23.17267,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,6,29.68997,9.916175,,,2.073,,22.82292,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,5,29.40005,10.71385,,,2.6993,,22.46743,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,4,29.11012,11.51153,,,3.1032,,22.10627,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,3,28.8202,12.3092,,,3.4729,,21.73954,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,2,28.7614,12.3121,,,3.953,,21.69347,,,,,
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,0,28.7026,12.315,,,27.509,,21.64738,0.264,4.2,0.7,0.05,1.1
'2013080102101,2013,CH-D04,21,8/11/2013,67.00,-165.00,67.498,-164.577,29,1,28.7026,12.315,,,8.3779,,21.6474,,,,,
