,StationID,MAST_Station,MAST_Latdd,MAST_Longdd,Station,Gear,Year,Depth.bot,Temp.surf,Sal.surf,DIN.surf,Water.surf,Temp.bot,Sal.bot,DIN.bot,Water.bot,MeanStrat,IntChla,phi5,TOC,MLD
63,CH-N01.5-2012,CH-N01.5,72.5,-167.66833666666668,107.0,CTD,2012,51.0,2.3080000000000003,28.993,-1.171182982,1.0,-0.381,33.213,2.281361457,3.0,0.166154282,1.916922612,11.7267997,2.078607517,7.5
64,CH-N02.5-2012,CH-N02.5,72.5,-166.0066183333333,105.0,CTD,2012,50.0,2.483213172,30.10095795,-1.884007296,,-0.926012301,34.48666235,2.709325633,,0.146255308,1.504077397,10.90538686,1.30232295,
65,CH-N03-2012,CH-N03,72.5,-165.176625349563,104.0,CTD,2012,50.0,1.365,28.684,-0.040821995,1.0,-1.151,33.218,2.578700529,3.0,0.167803829,2.104134154,9.899494937,1.56,6.0
66,CH-N03.5-2012,CH-N03.5,72.5,-164.3482966666666,103.0,CTD,2012,50.0,2.37,29.56,-1.016801807,1.0,-1.3430000000000002,33.268,3.85347768,3.0,0.161638478,2.302585093,9.837174391,1.72,11.5
67,CH-N04-2012,CH-N04,72.5,-163.51493802434499,102.0,CTD,2012,48.0,3.463,30.169,-1.078809661,5.0,-1.436,33.227,2.786861382,3.0,0.157605472,2.58021683,9.182074091,1.626918315,12.0
68,CH-N05-2012,CH-N05,72.5,-162.65241833333332,101.0,CTD,2012,41.0,-0.58,29.99271244,-0.733969175,,-1.6980000000000002,32.72797884,1.945910149,,0.228962054,2.219203484,8.33126641,1.02,
69,NB-Q01-2012,NB-Q01,65.0,-169.0,126.0,CTD,2012,50.0,1.5830000000000002,32.954,3.083743151,5.0,1.263,32.965,3.122364924,5.0,0.050297337,4.543294782,3.54541958,0.2,21.5
70,NB-Q02-2012,NB-Q02,65.0,-168.0,127.0,CTD,2012,43.0,6.971,27.303,1.611435915,5.0,1.806,32.236999999999995,2.714032273,5.0,0.181922844,2.928523524,6.592478324,0.41,9.0
71,NB-R00-2012,NB-R00,64.5,-170.0,133.0,CTD,2012,46.0,4.585,31.826,1.08180517,5.0,-0.07400000000000001,32.383,2.569554124,2.0,0.117042322,3.678829118,4.142463035,0.27,14.0
72,NB-R01-2012,NB-R01,64.5,-169.0,132.0,CTD,2012,42.0,1.264,32.528,2.327277706,5.0,0.434,32.666,3.089222617,5.0,0.08032998400000001,5.787817204,3.42636834,0.28,7.0
73,NB-R02-2012,NB-R02,64.5,-168.0,131.0,CTD,2012,35.0,6.778,30.115,1.363537374,5.0,2.468,32.041,2.39059597,5.0,0.156184,4.234106505,4.028647416,0.23,6.5
74,NB-R03-2012,NB-R03,64.5,-167.0,130.0,CTD,2012,27.0,8.484368175,27.44938023,-1.272965676,,5.799034296,30.8676849,1.366091654,,0.12097916,3.005682604,5.464667734,1.46,
75,NB-R04-2012,NB-R04,64.38333333333334,-166.0,129.0,CTD,2012,25.0,8.907,19.985,-0.385662481,5.0,6.405,31.284,0.518793793,5.0,0.255259374,3.490428515,3.775242807,1.08,8.5
76,NB-S00-2012,NB-S00,64.0,-170.0,134.0,CTD,2012,33.0,6.082000000000002,31.724,-2.407945609,5.0,5.149,31.857,0.858661619,5.0,0.091120862,3.465735903,4.774934555,0.08,21.0
77,NB-S01-2012,NB-S01,64.0,-169.0,136.0,CTD,2012,35.0,3.762,31.983,-2.407945609,5.0,0.672,32.485,2.598235335,5.0,0.11857733,5.4289069360000015,3.32565783,0.21,11.0
78,NB-S02-2012,NB-S02,64.0,-168.0,137.0,CTD,2012,37.0,4.529,31.886,1.771556762,5.0,3.673,32.001,1.964311234,5.0,0.08535975900000001,3.284663565,4.912229636,0.22,11.5
79,NB-S03-2012,NB-S03,64.0,-167.0,138.0,CTD,2012,33.0,5.893,31.705,-1.560647748,5.0,3.486,31.958,2.13771045,5.0,0.109990607,4.911183215,3.226453161,1.22,15.0
80,NB-S04-2012,NB-S04,64.0,-166.0,139.0,CTD,2012,22.0,7.1789999999999985,31.132,-1.021651248,6.0,6.865,31.228,-0.127833372,5.0,0.086706277,3.0106208860000003,4.67525681,1.045177463,13.5
81,NB-S05-2012,NB-S05,64.1,-164.5,145.0,CTD,2012,20.0,8.01,24.376,-0.446287103,6.0,8.271,27.871,0.048790164,6.0,0.19543916100000006,3.5751506889999995,3.45969762,1.074223212,15.5
82,NB-S06-2012,NB-S06,64.1,-163.5,144.0,CTD,2012,22.0,8.457,25.563,-0.46203546,6.0,9.136,29.332,1.036736885,6.0,0.195355384,3.83081295,4.716993307,0.086889391,14.5
83,NB-T02-2012,NB-T02,63.5,-168.0,140.0,CTD,2012,32.0,6.055,31.374,-2.995732274,5.0,1.083,32.175,1.4206957880000002,5.0,0.134708387,3.828641396,2.803569154,1.18,12.0
84,NB-T03-2012,NB-T03,63.5,-167.0,142.0,CTD,2012,26.0,5.5139999999999985,31.761,-1.966112856,5.0,3.045,31.906,1.115141591,5.0,0.108804855,4.871373227,5.0417622280000005,0.316394395,14.5
85,NB-T04-2012,NB-T04,63.5,-166.0,143.0,CTD,2012,24.0,7.93,30.14,-1.897119985,6.0,5.249,31.485,1.378766095,5.0,0.157380845,2.208274414,6.790506135,0.823247575,6.0
86,NB-T05-2012,NB-T05,63.75,-164.5,147.0,CTD,2012,16.0,8.062999999999999,29.549,-0.616186139,6.0,8.06,29.568,-0.579818495,6.0,0.057206762,3.269568939,2.046948949,0.27079351100000004,13.0
87,NB-T06-2012,NB-T06,63.75,-163.5,146.0,CTD,2012,15.0,8.629,28.456,0.425267735,6.0,8.629,28.451,0.39877612,6.0,0.0,3.517497837,2.046948949,0.08,12.0
