Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2)
66.941,-168.52,36.451,0.83311,1.2521,0,0,0,0
66.947,-168.51,36.366,0.69129,2.2705,0,0,0,0
66.955,-168.5,36.378,1.7882,2.1808,0,0,0,0
66.962,-168.5,36.451,0.28679,2.0811,0,0,0,0
66.97,-168.49,36.52,0.72737,1.6347,0,0,0,0
66.978,-168.48,36.556,0.68146,1.4786,0,0,0,0
66.985,-168.47,36.637,1.1251,1.9604,0,0,0,0
66.993,-168.46,36.593,1.9976,2.2805,0,0,0,0
66.998,-168.45,36.268,2.6834,2.3821,0,0,0,0
67,-168.43,35.744,2.0592,1.9849,0,0,0,0
67,-168.41,35.225,2.4457,1.9293,0,0,0,0
67,-168.38,34.745,1.5487,0.79602,0,0,0,0
67,-168.36,34.406,1.47,0.56024,0,0,0,0
67,-168.34,34.127,1.9495,0.63095,0,0,0,0
67,-168.32,33.847,0.60852,0.63254,0,0,0,0
67,-168.3,33.639,0.69739,0.40306,0,0,0,0
67,-168.28,33.506,1.1851,0.44926,0,0,0,0
67,-168.26,33.436,0.89195,0.58531,0,0,0,0
67,-168.23,33.391,1.4079,0.5773,0,0,0,0
67,-168.21,33.459,0.56392,0.71886,0,0,0,0
67,-168.19,33.48,2.3372,0.45027,0,0,0,0
67,-168.17,33.517,2.2476,0.52261,0,0,0,0
67,-168.15,33.572,1.0994,0.19578,0,0,0,0
67,-168.13,33.714,2.0389,0.10511,0,0,0,0
67,-168.11,33.791,2.2603,0.34701,0,0,0,0
67,-168.09,33.849,2.975,0.94905,0,0,0,0
67,-168.06,33.997,2.4734,0.72751,0,0,0,0
67,-168.04,34.157,5.7464,1.9834,0,0,0,0
67,-168.02,34.172,8.6082,1.1956,0,0,0,0.00037975
67,-168,34.329,11.137,3.1112,0,0,0,0
67,-167.98,34.458,7.1109,1.3149,0,0,0,0
67,-167.96,34.583,5.9912,1.3143,0,0,0,0
67,-167.94,34.753,0.95655,3.5152,0,0,0,0
67,-167.91,34.795,1.4139,1.905,0,0,0,0
67,-167.89,34.941,0.7951,1.5711,0,0,0,0
67,-167.87,35.158,0.58863,2.0225,0,0,0,0
67.004,-167.86,35.326,1.1967,4.4018,0,0,0,0
67.004,-167.85,35.396,0.98641,17.205,0,0,0,0
67.001,-167.84,35.268,1.3906,1.1826,0,0,0,0
67.001,-167.82,35.479,0.93993,0.75359,0,0,0,0
67.001,-167.8,35.357,1.7017,2.9067,0,0,0,0
67.001,-167.78,35.515,4.2202,2.1072,0,0,0,0
67.001,-167.76,35.646,3.021,0.67954,0,0,0,0
67.001,-167.73,35.72,4.1707,0.53471,0,0,0,0
67.001,-167.71,35.767,3.4608,1.1377,0,0,0,0
67.001,-167.69,35.893,2.8917,1.4611,0,0,0,0.00026227
67.001,-167.67,35.973,4.4919,1.0403,0,0,0,0.00045194
67.001,-167.65,36.134,2434.7,1.249,0,0,0,0.4262
67.001,-167.63,36.074,4313.1,1.6327,0,0,0,0.68118
